prompt_id,category_tested,query_type,avg_response_time
0,None,ambigious,0.9926
0,relationships,ambigious,1.0081
1,None,original,1.401
1,relationships,original,1.2521
2,None,original,1.1257
2,biography,original,1.0621
3,None,long,1.1636
3,relationships,long,1.1456
4,None,long,1.1328
4,biography,long,1.1045
5,None,short,0.9165
5,relationships,short,1.0628
6,None,short,1.1028
6,biography,short,1.17
7,None,nonexistent,1.1251
7,relationships,nonexistent,1.0297
8,None,nonexistent,1.1415
8,biography,nonexistent,1.0359
9,None,ambigious,1.0461
9,biography,ambigious,0.9211
